customer_id,first_name,last_name,gender,age,city,state,signup_date
1,Penny,Smith,Male,45,Rachelbury,South Dakota,2024-05-30
2,Carla,Salazar,Male,35,Erikaborough,New Jersey,2025-09-20
3,Patrick,Sanchez,Female,18,West Nicoleland,Kentucky,2026-01-20
4,Jo,Fisher,Female,46,New Colin,New Hampshire,2025-03-12
5,Jasmine,Smith,Female,56,New Sean,California,2025-05-01
6,Andrea,Howard,Male,23,North Shannon,Alaska,2024-01-15
7,Christopher,Patrick,Male,35,Vanessaberg,Illinois,2023-09-30
8,Lisa,Taylor,Female,50,South Samanthaton,Minnesota,2024-12-21
9,Brian,Escobar,Male,47,Acevedostad,Mississippi,2024-01-09
10,Russell,Hudson,Male,51,North Brianburgh,Nebraska,2024-07-19
11,Lisa,Prince,Male,33,Lake Kristinchester,California,2024-01-16
12,Randy,Mathews,Female,36,Port Daniel,Colorado,2025-08-31
13,Linda,Rogers,Male,65,Duanemouth,New Jersey,2025-12-29
14,Matthew,Nash,Male,48,Evanside,Washington,2024-01-04
15,Jeffrey,Salinas,Male,30,West Stacyfurt,Wyoming,2023-12-20
16,Victor,Carpenter,Female,55,South Chadburgh,North Dakota,2025-11-03
17,Anthony,Peters,Male,68,New Justin,Delaware,2024-03-18
18,Tyrone,Mullen,Male,20,Carlosmouth,Kentucky,2024-01-09
19,Bryan,Conway,Female,64,Tinaport,Vermont,2024-01-05
20,Cody,Brooks,Female,44,Lake David,Nebraska,2024-01-18
21,Randall,Lewis,Male,56,Simonville,North Dakota,2024-09-05
22,Joshua,Young,Male,59,West Kathy,Connecticut,2023-09-24
23,Jessica,Thompson,Female,51,Raymondshire,Hawaii,2025-02-19
24,Jason,Schmidt,Male,61,South Danielle,Nevada,2026-04-24
25,Summer,Hoover,Male,34,Wilsonville,New Jersey,2026-01-03
26,Nicole,Mcdonald,Male,32,Ericbury,Rhode Island,2024-01-01
27,Kimberly,Coleman,Female,21,West Rachaelbury,Mississippi,2024-09-07
28,Justin,Miller,Female,43,Christineside,Idaho,2025-08-02
29,Megan,Wright,Male,55,Tarabury,North Carolina,2025-02-17
30,Toni,Lawrence,Male,19,North Timothy,Wisconsin,2024-04-04
31,Stephanie,Howard,Male,22,Jacquelineton,Hawaii,2026-01-24
32,Erin,Lam,Male,50,Martinstad,Delaware,2023-12-21
33,David,Price,Female,54,Rosechester,Georgia,2025-03-31
34,Thomas,Adams,Male,62,New Andrew,North Carolina,2025-01-29
35,Robert,Williams,Female,20,Hernandezshire,Kentucky,2024-05-22
36,Robert,Wilson,Female,20,East Joann,Nebraska,2026-06-26
37,Natasha,Clark,Male,51,Nicholasmouth,Utah,2025-12-24
38,Kyle,Payne,Female,25,Salazarview,Illinois,2026-01-30
39,Danielle,Hayden,Female,62,Lake Kellie,Maryland,2024-08-25
40,Bradley,Wolf,Male,47,West Bonniehaven,Virginia,2024-08-05
41,Diana,Branch,Female,26,South Victorborough,Washington,2025-12-03
42,Bobby,Nelson,Female,49,Port Richardbury,Washington,2025-04-29
43,Steven,Hamilton,Male,59,East Jerryborough,Colorado,2026-02-21
44,Joshua,Allison,Male,45,Murphytown,South Dakota,2025-11-12
45,Andrew,Tanner,Male,67,Brownburgh,West Virginia,2025-11-22
46,Jacqueline,Garcia,Female,46,Lake Andrew,Oklahoma,2023-11-10
47,Tony,King,Female,55,Port Marcus,Idaho,2024-11-23
48,Elizabeth,Chen,Female,25,North Jackieburgh,Illinois,2024-06-29
49,Elizabeth,Stone,Female,29,Adamsmouth,Wyoming,2024-06-17
50,Brett,Nelson,Female,22,South Kennethland,Nevada,2024-01-29
51,Chad,Grimes,Male,54,North Dawnchester,Virginia,2026-02-18
52,Robert,Smith,Female,50,Harryburgh,Arkansas,2025-10-16
